SMILES,RDKit_valid,MolWeight,QED
O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,True,365.3850000000001,0.5312241142069125
O=CN/C=C/c1cc(O)ccc1O,True,179.17499999999998,0.4748060149969757
O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,True,397.3830000000001,0.34850968221949913
O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,True,381.3840000000001,0.4148485446287407
O=C(O)c1cc(/N=C\c2cc(O)ccc2O)ccc1O,True,273.244,0.5060934582688746
O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,True,275.26000000000005,0.5465776520357241
O=Cc1cc(O)ccc1O,True,138.12199999999999,0.4476083336936698
Nc1ccc(O)c(C(=O)O)c1,True,153.137,0.4087158551274257
Nc1cc(C(=O)O)ccc1O,True,153.13699999999997,0.4087158551274257
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,True,542.6880000000002,0.5234670292680527
Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21,True,420.44800000000004,0.5595319564758962
Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,True,390.4470000000001,0.5581074752116042
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,True,499.6190000000003,0.3105348061023151
Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,True,416.48500000000007,0.6003688367852625
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,True,386.4550000000001,0.5626550130245946
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,True,387.4430000000001,0.5626686495076645
Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,True,430.5120000000001,0.5797410155056681
O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2,True,398.466,0.5924616571083369
COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2CC(C)(C)O)ccn1,True,417.46900000000016,0.5193977210200514
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,True,501.83300000000025,0.23399389185433492
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/CN1CCCCC1,True,470.9320000000004,0.2914503652836755
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,True,500.8490000000002,0.3461810787339187
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,True,469.9480000000004,0.46544532094051466
O=C(Nc1ccccc1)NC1CCCC1,True,204.2729999999999,0.763729199043224
O=C(Nc1ccccn1)NC1CCCC1,True,205.26099999999994,0.7768214155778699
CN(C(=O)NC1CCCC1)c1ccccc1,True,218.3,0.812985989784641
CN(C(=O)NC1CCCC1)c1ccccn1,True,219.288,0.8281404974506995
CN(C(=O)Nc1ccccc1)C1CCCC1,True,218.29999999999993,0.8124327800301999
CN(C(=O)Nc1ccccn1)C1CCCC1,True,219.28799999999993,0.8301624682485116
CN(C(=O)N(C)C1CCCC1)c1ccccc1,True,232.327,0.7681678215015835
CN(C(=O)N(C)C1CCCC1)c1ccccn1,True,233.315,0.7866084008954789
COc1cc2ncnc(NCc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3)c2cc1OCCCN1CCOCC1,True,672.7859999999997,0.15227442549209524
O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,True,349.41500000000013,0.784298444969999
c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,True,342.44600000000014,0.5713560643749876
COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,True,360.46100000000007,0.696812086890712
Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,True,365.4270000000001,0.6852662104888576
COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,True,360.46100000000007,0.696812086890712
c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,True,336.4640000000001,0.7295168529101552
Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,True,365.4270000000001,0.6852662104888576
